Status,CRN,Subject,Course Number,Sequence Number,Max Enrollment,Current Enrollment,Seats Available,Waitlist Count,Instructor,Meeting Times,Attributes,Credit Hours,Course Title,Fee,Note,Start Date,End Date,Campus,Delivery Method
CLOSED,84854,Accounting,221,01,20,20,0,11,"Porter, Brian E.",TR — 8:00 am–9:20 am — SCICTR 1111,,3,Financial Accounting,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84646,Accounting,221,02,20,20,0,12,"Porter, Brian E.",TR — 9:30 am–10:50 am — SCICTR 1111,,3,Financial Accounting,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84500,Accounting,221,03,20,20,0,13,"Choy, Hiu Lam",TR — 1:30 pm–2:50 pm — SCICTR 1116,,3,Financial Accounting,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84655,Accounting,221,04,20,20,0,8,"Bollaert, Jared H.",TR — 3:00 pm–4:20 pm — VNZORN 299,,3,Financial Accounting,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84858,Accounting,221,05,20,20,0,10,"Swartz, Lee A.",T — 6:30 pm–9:20 pm — SCICTR 3130,,3,Financial Accounting,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,85144,Accounting,222,01,20,20,0,9,"Coe, Jonathan S.",MWF — 9:30 am–10:20 am — VNZORN 151,,3,Managerial Accounting,,Prerequisite: Acct 221.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,83346,Accounting,321,01,21,12,9,0,"Templeton, Mary M.",TR — 8:00 am–9:20 am — SCICTR 1116,,3,Intermediate Accounting I,,Prerequisite: Acct 221 with a C or better.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,83507,Accounting,321,02,19,19,0,2,"Templeton, Mary M.",TR — 9:30 am–10:50 am — SCICTR 1116,,3,Intermediate Accounting I,,Prerequisite: Acct 221 with a C or better.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84499,Accounting,375,01,15,15,0,1,"Coe, Jonathan S.",MWF — 11:00 am–11:50 am — VNZORN 151,,3,Cost Accounting,,"Prerequisites: Acct 221, Acct 222 with a C or better.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84501,Accounting,375,02,16,16,0,0,"Coe, Jonathan S.",MWF — 12:00 pm–12:50 pm — VNZORN 151,,3,Cost Accounting,,"Prerequisites: Acct 221, Acct 222 with a C or better.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,84651,Accounting,395,01A,24,11,13,0,"Woodrick, Jason A.",W — 6:00 pm–7:50 pm — VNZORN 240,,1,Not-for-Profit Government Acct,,"Meets first half of semester. Prerequisites: Declared public accounting major, Acct 322.",31-AUG-26,20-OCT-26,Main Campus,Traditional: In Person
OPEN,84347,Accounting,425,01,18,11,7,0,"Templeton, Mary M.",TR — 12:00 pm–1:20 pm — VNDWRF 238,,3,Individual Taxation,,Prerequisite: Acct 322.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84855,Accounting,425,02,18,18,0,3,"Templeton, Mary M.",TR — 1:30 pm–2:50 pm — VNDWRF 238,,3,Individual Taxation,,Prerequisite: Acct 322.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,83925,Accounting,427,01,18,16,2,0,"Choy, Hiu Lam",TR — 9:30 am–10:50 am — DWTCUL 247,,3,Advanced Accounting,,Prerequisite: Acct 322.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,84856,Accounting,427,02,18,12,6,0,"Choy, Hiu Lam",TR — 12:00 pm–1:20 pm — SCICTR 1116,,3,Advanced Accounting,,Prerequisite: Acct 322.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,85151,American Ethnic Studies,210,01,20,2,18,0,"Jantzen, Matthew R.",TR — 12:00 pm–1:20 pm — GRAVES 206,,3,Intro American Ethnic Studies,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,83967,Applied Learning,399,01,16,1,15,0,"Schans, Shannon K.",— 12:00 am–12:00 am —,,1-4,Applied Learning Internship,,Permission of instructor required. A link to the Google Academic Internship Registration Form can be obtained from the instructor or from the Boerigter Center for Calling and Career website.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,84652,Applied Learning,399,02,16,1,15,0,"Schans, Shannon K.",— 12:00 am–12:00 am —,,1-4,Applied Learning Internship,,Permission of instructor required. A link to the Google Academic Internship Registration Form can be obtained from the instructor or from the Boerigter Center for Calling and Career website.,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,84981,Art and Art History,105,01,12,12,0,2,"Staff, TBA",WF — 11:00 am–1:30 pm — DPRART B11,ART,3,Basic Design,,"Supply costs associated with course, contact department.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,84982,Art and Art History,105,01M,6,1,5,0,"Staff, TBA",WF — 11:00 am–1:30 pm — DPRART B11,ART,3,Basic Design,,"Permission of instructor required, via the Course Override Form. Reserved for declared art majors or minors or Visual Arts DAA scholar recipients. Supply costs associated with course, contact department.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,83457,Art and Art History,105,02,12,12,0,0,"Staff, TBA",TR — 8:15 am–10:45 am — DPRART B11,ART,3,Basic Design,,"Supply costs associated with course, contact department.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,83691,Art and Art History,105,02M,6,1,5,0,"Staff, TBA",TR — 8:15 am–10:45 am — DPRART B11,ART,3,Basic Design,,"Permission of instructor required, via the Course Override Form. Reserved for declared art majors or minors or Visual Arts DAA scholar recipients. Reserve two hours each week for online lectures and assignments regarding the technical usage of Adobe Creative Cloud. Supply costs associated with course, contact department.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,85099,Art and Art History,111,01,25,21,4,0,"Staff, TBA",MWF — 11:00 am–11:50 am — DPRART 129,"AH1,HCP",3,Introduction to Art History,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,85100,Art and Art History,111,01M,5,1,4,0,"Staff, TBA",MWF — 11:00 am–11:50 am — DPRART 129,"AH1,HCP",3,Introduction to Art History,,"Permission of instructor required, via the Course Override Form. Reserved for declared art majors or minors or Visual Arts DAA scholar recipients.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
CLOSED,83676,Art and Art History,111,02,25,25,0,0,"Staff, TBA",TR — 9:30 am–10:50 am — DPRART 129,"AH1,HCP",3,Introduction to Art History,,,31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
PERMISSION,83692,Art and Art History,111,02M,5,1,4,0,"Staff, TBA",TR — 9:30 am–10:50 am — DPRART 129,"AH1,HCP",3,Introduction to Art History,,"Permission of instructor required, via the Course Override Form. Reserved for declared art majors or minors or Visual Arts DAA scholar recipients.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
OPEN,85101,Art and Art History,112,01,15,14,1,0,"Sullivan, Katherine A.",MWF — 8:40 am–10:20 am — DPRART 129,ART,3,Color and Context,,"Supply costs associated with course, contact department.",31-AUG-26,18-DEC-26,Main Campus,Traditional: In Person
